,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Butternut squash and cauliflower laksa with rice noodles,"1 banana shallot, halved, ½ green chilli (plus extra, sliced, to serve if you like), optional, 2 garlic cloves, 1 large piece fresh ginger, chopped, plus extra, sliced into matchsticks, to serve, 1 heaped tbsp lemongrass paste from a jar or tube (from the world food section of large supermarkets), 2 tsp cold-pressed rapeseed oil, 2 x 400ml tins half-fat coconut milk, 6 fresh or dried lime leaves (optional), 500g frozen butternut squash, 500g frozen cauliflower, 250g wide brown rice noodles, Handful fresh coriander leaves to serve (optional)",466,15.8,10,15.1,63.1,10.4,5.3,1.3,vegan
1,Martine’s homemade chips,"800g floury potatoes (we used maris piper), 2 litres sunflower oil, Malt vinegar and sea salt flakes to serve, Digital probe thermometer or a deep-fat fryer",274,11.2,1.4,3.9,37.3,1.7,4,trace,vegan
2,Roasted vegetable ratatouille,"1 aubergine, cut into small chunks, 1 each yellow and orange peppers, deseeded and thickly sliced, 2 courgettes, roughly chopped, 1 large fennel bulb, sliced through the root into wedges, 4 tbsp olive oil, 180g radishes, halved if large, 500g cherry tomatoes on the vine, 4 garlic cloves, crushed, 1 tbsp sherry vinegar, Large handful fresh basil and flatleaf parsley leaves, chopped",133,6.5,1,3.7,11.5,10,6.8,0.1,vegan
3,Bloody mary panzanella,"4 tbsp extra-virgin olive oil, 150g ciabatta, torn into chunks, 250g halved cherry tomatoes, 2 sliced celery sticks,  2 tbsp drained capers, 2 tbsp extra-virgin olive oil,  1 tbsp vodka (optional), 1 tsp red wine vinegar, ½ tsp Worcestershire sauce, ¼ tsp Tabasco sauce, ¼ tsp celery salt, Lemon wedges and fresh basil leaves, to serve",225,12.8,1.9,5,21.3,3.5,2.3,0.9,vegan
4,Vegan caramelised onion tart,"120g unroasted unsalted cashew nuts, 2 garlic cloves, 1 tbsp freshly squeezed lemon juice, 60ml extra-virgin olive oil, plus extra for greasing, 4 large onions, thinly sliced, 1 tbsp rice malt syrup (see Know-how), 50g spinach, 50g kale, sliced, 1 tbsp cider vinegar, 150g ground almonds, ½ tsp sea salt, 1 tsp bicarbonate of soda, ½ tsp dried rosemary, 60ml extra-virgin olive oil",332,29,3.8,7.8,10.2,6.3,2.3,0.7,vegan
5,Vegan hasselback potatoes,"2.5kg floury potatoes such as maris piper, estima or king edward, 5 tbsp olive oil",254cals,7.6,2,5,40.2 carbs,1.4,4.3 fibre,trace,vegan
6,Cashew and smoked tofu potsticker gyoza,"16-20 ready-made gyoza wrappers (from Asian grocers or theasiancookshop.co.uk), Toasted sesame oil and vegetable oil for frying, 75-100ml boiling water,  75g roasted, salted cashew nuts,  150g smoked tofu, 50g chinese cabbage or pak choi, roughly chopped, 2 spring onions, chopped,  ½ small carrot, peeled and grated,  20g beansprouts, ½ small red chilli, 1-2 garlic cloves, crushed, 1 tsp peeled and grated ginger,  1 tbsp tamari or dark soy sauce, 1 tbsp sweet chilli sauce, 1 tbsp toasted sesame oil, 4 tbsp sweet chilli sauce, 3 tbsp tamari or dark soy sauce, 2 tbsp rice vinegar, Finely sliced spring onions, Coriander leaves, Toasted sesame seeds,  28cm non-stick frying pan with  a lid",361,16.9,3,14.1,36.5,15.2,3.2,3,vegan
7,"Carrot, butterbean and caraway dip","500g carrots, sliced into 5mm discs, 75ml olive oil, plus extra to drizzle, Juice ½ orange, 2tsp caraway seeds, ½ tsp cumin seeds, ½ tsp coriander seeds, 1 garlic clove, peeled, Pinch sugar, 400 tinned butterbeans, drained and rinsed, Lemon juice to taste, 2-3 tbsp dukkah","111,",6.6,0.9,2.9,7.7,3.4,4.6,0.1,vegan
8,Broad bean & mint dip,"500g frozen podded broad beans (use fresh if they’re in season), 1-2 garlic cloves, peeled, 7-8 sprigs fresh mint, leaves picked and chopped, Small bunch fresh flatleaf parsley, chopped, 100ml light olive oil",106,7.8,1.1,3,3.6,0.7,4.3,no salt,vegan
9,Brazilian black bean soup with raw corn salsa,"Sunflower oil for frying, 2 onions, finely chopped, 2 red chillies, finely chopped, 5 large garlic cloves, crushed, 1½ tbsp smoked paprika, ½ tbsp ground cumin, 2 x 400g tins black beans, 1 litre vegetable stock, 5 bay leaves, 3 roasted red peppers from a jar, drained and roughly chopped, 1 small sweet potato, peeled and diced into 2cm pieces, Lime wedges to serve, 2 corn cobs, kernels sliced off with a sharp knife (or, if not in season,150g frozen sweetcorn, defrosted), ½ red chilli, finely diced, 6 spring onions, finely sliced, ½ small red onion, finely diced, Bunch fresh coriander, finely chopped",276,9.4,1.2,10.3,33.3,10.3,8.4,1.3,vegan
10,Crispy sliced lemon-roasted potatoes,"1.3-1.5kg floury potatoes such as maris piper, peeled, 50ml olive oil, 3 garlic cloves, very finely chopped, Grated zest and juice 1½ lemons, 1 tsp dried thyme, 1 tsp dried oregano, 2 fresh thyme sprigs, leaves picked, Large oven dish with high sides, about 35cm x 20cm",253,6.5,1,4.5,41.4,2,5.3,trace,vegan
11,Pink peppercorn and vodka pickle,"2 tbsp vodka, 3 tbsp white wine vinegar, 2 tsp caster sugar, 1 tsp fine salt, 2 tsp pink peppercorns, 1 small bunch finely chopped fresh dill, 150g finely sliced radishes, 1 cucumber",15,0.3,no,0.8,1.6,1.6,0.4,0.2,vegan
12,Vegan fry-up,"200g mixed small peppers,  Oil for drizzling and frying,  200g large oyster  mushrooms, 200g baby leaf spinach,  2 shallots, roughly chopped, 40g fresh ginger, grated,  1 red chilli, deseeded and finely chopped, 2 tbsp tamarind paste (from large supermarkets), 400g tin chopped tomatoes, 1 tbsp palm sugar,  1 ripe avocado, roughly chopped, 400g tin butter beans, drained & rinsed, Juice 1 lemon,  ½ garlic clove, crushed, 1 tsp sumac (from large supermarkets)",279,16.9,2.3,8.9,18.6,9.6,8.7,0.1,vegan
13,Vegetable tagine,"Light olive or vegetable oil for frying, 2 red onions, sliced into wedges, 2 tsp ground coriander, 2 tsp ground cumin, 2 tsp ground cinnamon, 2 garlic cloves, crushed, 20g fresh ginger, grated, 2 tbsp harissa paste, 1 small butternut squash, peeled and diced into 2cm cubes, 3 parsnips, cubed, 2 carrots, diagonally sliced, 200g dried red lentils, 2 x 400g tins cherry tomatoes, 1 litre vegetable stock, 80g dried apricots, roughly chopped, plus extra to garnish, Large bunch fresh flatleaf parsley, leaves picked and roughly chopped",273,4.9,0.6,11.4,40.2,19.3,10.8,0.9,vegan
14,Sweet potato and chickpea curry,"1 tbsp light olive oil, 1 large red onion, finely sliced, 1 large leek, sliced, 1tbsp mild curry paste – or more if you like your food a bit spicier (we like Patak’s korma or tikka paste), Thumb-size piece fresh ginger, grated, 2 large sweet potatoes, peeled and cut into large cubes – or use a mix of sweet potato and pumpkin or butternut squash, 400ml tin coconut milk, 400g tin chickpeas, drained and rinsed, 400g tin chopped tomatoes, 1 tbsp tomato purée, 25g dried red lentils, 115g pack baby leaf spinach, Bunch fresh coriander, finely chopped, 1 lime, halved, Dairy-free yogurt, finely chopped cucumber and rice to serve",509,23.4,15.5,12.7,55.5,18.2,13,0.4,vegan
15,Tofu and edamame noodles,"4 nests wholewheat noodles (we used Blue Dragon), 3 tbsp dark soy sauce, plus extra to taste, 3-4cm fresh ginger, grated, Grated zest and juice 1 lime, plus wedges to serve, 2 garlic cloves, grated, Bunch fresh coriander, stalks finely chopped, leaves roughly chopped, Vegetable oil for frying, 200g tofu, sliced (we used Dragonfly marinated tofu), 1 tbsp toasted sesame seeds, 200g frozen edamame beans",428,14.1,2.4,21.3,50.6,5.4,6.5 fibre,1.8,vegan
